communityname,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWSocSec,pctWPubAsst,PctPopUnderPov,PctUnemployed,PersPerFam,PctFam2Par,PctImmigRec5,PctRecentImmig,PctNotSpeakEnglWell,PctLargHouseFam,PersPerRentOccHous,PctPersDenseHous,PctHousOccup,PctVacantBoarded,PctHousNoPhone,PctWOFullPlumb,OwnOccQrange,RentQrange,NumInShelters,PctSameHouse85,PctUsePubTrans,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,-0.9767909154555456,-0.5590660628517093,0.42613845546483425,1.423345293237928,-0.29325664565167275,0.6700205598119173,3.0643042370244014,-0.33625249627237724,-2.39572931088714,-1.804769050371746,-1.5714086739397308,0.4430487681806739,1.6502898354741344,-0.5979914831379016,-0.10598303616420285,-0.24600994700387938,0.06653991205204306,1.3058061564884917,-1.9208220164377998,0.9454194385408164,0.09505529965134055,-1.0493249829472844,-0.340866140327536,1.154770440509683,1.3543028842895333,0.44343105291459983,1.3074254458696086,1.341133186985301,-0.762131262896258,-0.6872933613119062,-1.660615256390531,-1.1545377055592634,-1.3714677717053747,-0.693628997282967,-1.5375512194453391,-1.4824599436268517,-2.1554376932925434,-2.6307607251501017,-1.5868498405999114,-1.2843623967673592,-1.084927555506848,-0.8781355810888579,-0.6022001386365512,-0.42660925531083116,-2.082968822409072,-2.0480872338349547
Marpletownship,-0.21441225877534092,-0.5990740467574281,0.5726961936078371,0.84563687755045,-0.8684670507700272,0.6700205598119173,1.037812731951271,1.0958312639258867,-0.9788357246462633,-0.9411125374435235,-1.8063278652114516,-0.051671439831687926,1.220874988409123,-0.9485052233035814,-0.41931213189537575,-0.14150600923256076,-0.18323970192527655,-1.1790111491237305,-0.9362778308706455,0.7440443891920145,-0.7734457842500364,-0.9734965223411829,-0.6693594901801337,0.40931104628968806,0.2887068888048303,-0.7778215597600027,1.8759786009048767,0.16260723907744903,-0.762131262896258,-0.6872933613119062,-1.1255085398534541,-1.0140982511569179,-0.7623875558946986,-0.633882031872886,-0.5564587073981284,-0.5573793130072614,-1.1063714653156325,-1.7562569810415174,-0.7149200090693507,-1.0131910930139723,-0.7862456602691223,-1.0582623153344979,-0.8908302968789259,-0.7828404237590172,-0.9832270149134021,-1.4243440802290834
Tigardcity,0.06181577163175342,-0.603285413484346,0.5253955684027056,0.8429938640637451,-0.13155849080318682,0.6700205598119173,0.12546323905894657,-0.5014002026252075,-0.8824439562546071,-0.7254685241971865,-0.6894861488756154,-0.8034245924098921,0.4256974950608638,0.2867535437630558,-0.17491543722506092,-0.30063700538434146,-0.9063908877616291,-0.8456012356943156,-0.21399358341835467,0.4980175268659069,-0.5173493107919381,-0.6701826799167766,-0.7162871115876478,-0.3049585355121179,-0.4791598078780516,0.6146127190039087,-1.4202986374016073,0.27048612550079304,0.4902781625373334,0.31233044516727076,-0.15838078189408528,-0.6059977189524547,0.48574821383206207,-0.022276227456827412,-0.867851393358097,-1.3470159872751126,0.10088963844655366,-0.10727448275172875,0.6502383095599628,0.9468945889974109,0.2623443981967632,0.22668217243333513,0.847753362244106,0.875860954327849,-0.4611301643809196,0.6932154526218234
Gloversvillecity,-0.5947467734644117,-0.5359035458536615,0.6395335188540563,-0.9053068003546204,-1.0091597533058572,-1.5985678117360025,-0.9985114097206327,1.575603432746517,1.1115586630746115,0.8455736384513138,1.3165367278353313,-0.6594130771231751,-0.9537501994931084,-0.5286945138177903,-0.5133108606147275,-0.43839219608289776,-0.34120494260146217,-0.40505670046370534,-0.7493449654511513,-0.2775537784577766,-0.06639682492006929,0.6629305791259771,1.043498691194126,-0.5920291852856326,-1.1524669712575704,-0.7778215597600027,0.4907245091216216,0.05472835265410514,-0.762131262896258,-0.6872933613119062,0.19054983814301818,0.7574215489630224,-0.42634059022971127,-0.4664441349349868,-0.3690200158144535,-0.04667507029436667,-0.051332897859301806,0.6744429194776282,-0.1531647764146855,0.46484648800550576,-0.41477545804515525,-0.11407834403189625,-0.10878362409665461,-0.2898000812439703,-0.1330314679634517,0.08118528515190337
Bemidjicity,-1.0501954211244746,-0.6180251970285582,0.32124194308844295,-0.13347645766689725,-1.2245593137573498,-1.5985678117360025,-1.2361334608576768,0.6932083885839502,1.0485991417265026,1.5213092270212816,1.1327852092283548,-0.6594130771231751,-1.4696180356796134,2.8765263274239636,-0.17491543722506092,-0.4787687174945436,0.23547204828595597,-0.6532390263957993,0.16921902799000563,-0.0561212304408436,0.31218057062668475,0.7730041509735439,0.926179637675341,-0.6464848875802733,-0.32062899294907865,-0.2378885494125841,-0.8859727626025754,-0.5416586987051359,-0.762131262896258,-0.6872933613119062,-0.055295106779300655,-0.26497767908605324,-0.8634682140162536,-0.5845656239769693,-0.867851393358097,-0.4805139364079739,-0.7485005495099816,-0.16408697738202668,0.18930020438870537,2.9913879318107117,0.005260960455268909,0.9202740641003149,-0.10878362409665461,0.26593225966574097,0.05961678062688,1.582281082855483
Springfieldcity,1.8774530116239518,-0.4790500950402717,0.5757267382554001,-0.37167028085439996,-0.7878687997192967,0.6700205598119173,-0.924245207531406,0.3496529410616396,0.3937128758571726,0.8838858496687756,0.10244264521760885,-1.0958941297771387,-0.2013241842818512,0.8169559369332104,-0.48824453295623366,-0.428891838103687,-0.8330023316635109,-0.527998805497844,-0.1740015712799418,-0.16821514473691415,-0.1916614043289218,0.4501216735540145,-0.27047470821626507,-0.3749387232590885,-0.7560624797175564,2.0692604443475733,-0.879317458112196,-0.4215671081583946,1.116482875254129,-0.12967188854099188,1.7027456870597037,0.5300748557187547,0.9719256495396528,-0.31918113213632626,1.2054744910164275,0.31431565117658383,1.6760004695749016,0.7655693516592845,1.9203107625335638,1.0162998005537474,1.0373002489959715,-0.008930610188843972,2.1075708745195767,1.6917357932490646,0.22347457621125788,0.8914213548342529
Norwoodtown,0.03608857841008977,-0.5429224903985246,0.6103969551707725,0.07375374992759838,-0.6816344446075775,0.6700205598119173,0.6570215327623781,0.4605550504372629,-0.0025655027867622147,-0.9319565028593373,-0.26543084820401763,0.08496656955889145,0.5197507469622704,-0.3345018439788734,-0.03078405318872137,-0.428891838103687,0.1767492951063137,-0.7487298123286914,-0.5479557547454124,0.4016009027913783,-0.3809501021022988,-0.8805455061143487,-0.340866140327536,0.3402096725871192,1.682473203266311,-0.7778215597600027,1.1324860135510642,1.3390977362980678,-0.762131262896258,-0.6872933613119062,-0.41813593750016426,-0.7074445718972079,-0.47918138354957357,-0.5918853134605933,-0.07582530964749087,-0.08277434217307118,-0.6028672717930634,-1.1364146595731413,-0.9472128099898977,-1.3761027806319879,0.29898550703733995,0.4974119554253666,0.6732630486856167,0.777135704519429,-0.4261167502833404,-1.4867296901095173
Andersoncity,0.8805502807594336,0.3414645222542075,0.14264042241745034,-1.1078931385323723,-1.0855079196562536,0.6700205598119173,-0.8017841880739451,0.7438376124293435,0.7010007086383756,0.8975243909315732,0.9027717847277604,-0.8034245924098921,-1.0924549952264961,0.19328321305220783,-0.6198427531633263,-0.5048947019373732,-0.38270692741318246,-0.19519123456312937,-0.2824696531763965,-0.09631540299882911,1.0053112433556681,1.01027385028941,0.15187388445136057,-0.7828879418184705,-0.6661531668223022,0.7413275287476142,0.3148343190187372,-0.4765242767136829,1.2228907119657135,0.8940392385762376,1.0840985369962812,0.6890192735247035,0.7918198413916409,0.0044863872176729765,0.4438349842364819,0.03101426788553898,0.7176166203682044,0.28962031778647157,0.8465982528701812,0.20293114925917133,0.20830611349748449,-0.40994673978727264,0.25484737071265906,-0.47465359052917205,0.2164022811285879,0.2724912566122799
Fargocity,1.135929262512465,-0.6306592972093115,0.6305933613728445,-0.07342981810110374,-0.9787509266826164,0.6700205598119173,-0.6449834301919771,-0.8570102272535642,-0.3644010109126812,0.5642664896947839,-0.5969102347719752,-0.564208597286808,0.5026501557074685,1.060301108266625,-0.3942458042368819,-0.46926835951533286,-1.1826582339592369,-1.3521514482881485,-0.4159726826819777,0.3948131418895515,-0.6481812048411839,-0.39866786935944504,-0.5520404366613488,-0.23845586450794384,-0.5455324822404435,1.599057231642201,-1.0285864302535626,-0.3320072779201467,-0.762131262896258,-0.6872933613119062,1.1058463358742068,0.29512790964800717,-0.18499646225763142,-0.6394175470448766,-0.24020872839371707,-1.1166519256832015,0.4403937939409124,-0.6176781537326497,1.1402454601288845,0.3510498309665066,0.5288188047799195,-0.1685087018382303,0.17984653414572024,-0.6135134374407183,-1.0810941266053147,0.21074266795359722
Wacocity,1.5241700489888494,0.9689581645649555,-0.6813831198985683,-0.3517161920936752,1.2741021762523357,0.6700205598119173,-1.201719232761967,0.3231328714283385,0.7413727687512568,1.4668516513058454,0.9565661937361418,-0.051671439831687926,-1.178907984347992,0.214233459590846,-0.23758125637129549,0.0247502554036279,0.7353138837846166,0.28868207691629716,0.9311616539835638,-0.9311792717472362,0.7965369443409142,1.8223722025870142,-0.2235470868087511,-0.25218448874938265,-0.07246819546686094,1.0819873299112062,-0.8755144269748364,-0.46431157259028555,2.3105867528595208,2.550042532442344,2.1652624487980425,3.164058128756629,1.63617173996944,1.189772854912763,1.7184829506002024,1.2756933439388247,1.780784702435816,1.4474409311937297,1.7209251515532922,1.3544591900361418,1.5899890312953526,1.243308253097777,0.7117507762826414,-0.41869951719561654,1.4340149523454588,1.3702876480450779
