communityname,Demographics_PC1,Demographics_PC2,Demographics_PC3,Income_PC1,Housing_PC1,Housing_PC2,Housing_PC3,Housing_PC4,Housing_PC5,Crime_PC1,Crime_PC2,Crime_PC3
BerkeleyHeightstownship,-0.27129958124330944,-1.19669554440325,-0.5769568687096797,4.349283485546846,-1.5484817784672977,-2.87933424877915,-0.7124647031265439,1.179932421257968,0.05723723130295252,-5.7987359245489545,1.464810744830492,-0.11481765192254885
Marpletownship,-0.7236844822979004,-0.9787186287388853,-0.9926858994323283,1.9952226183453698,-2.539538230024824,-1.0769691653564963,0.28754922822787315,1.3793553290871579,0.2456507813381175,-3.893448253062721,0.670144964666342,-0.6384318441824964
Tigardcity,0.04456927468871836,-0.9246258106138577,-0.8161880521724837,1.305327105026259,-1.3821799920794173,0.841360034636546,-0.26767885879877934,-0.9742309920821735,-1.5353560833810946,0.4881774769259939,0.8881444878832703,1.4854756222580872
Gloversvillecity,-2.046365098041991,-0.16999044367105695,1.0897206972170996,-2.471184511965457,0.06877016404006528,1.7313336241699144,0.30612136254821914,1.0191505658681932,0.7916167024383384,-0.486893527356732,-1.0645357204712942,0.8106480098130091
Bemidjicity,-0.9076806966097101,0.031381053513026294,1.6539871464390987,-2.5677396678159767,0.9974040732352248,1.7224076436769746,-0.11273255392173337,-0.16452877918993797,0.10799853879145513,-0.09382231853696468,-2.0886149778466483,2.069524763854018
Springfieldcity,-0.1755293428687385,-0.11250618608450172,-1.5590331176166785,-1.210120252098832,-0.1635035361419778,1.9297501037019615,-0.7749538284839957,-0.8058802879268153,-1.231145443083394,3.9758549696204013,1.2711913648043864,2.2039355042968403
Norwoodtown,-0.6281699845564569,-0.7072308305492188,-0.8295562422975274,0.7773236726103743,-1.5700947833100705,-1.749870541301968,-0.9401311340161622,1.0105421220844537,0.3946425995871387,-1.805338891349507,1.508669691923264,-0.020256812937270132
Andersoncity,-0.9120635277775151,0.8220607579364654,-1.1234850693382288,-1.7882583466474937,0.7371065352838859,1.988245264926496,-0.3684129247564148,0.8135236047939057,-0.18973229819799461,1.8023964461531008,0.4916336549383151,-0.19393940846470065
Fargocity,-0.3180461372088858,-0.3715810123177633,-1.2612071284317836,0.09860249828823262,-1.448011816343839,1.2140290270767713,-0.4659348637237032,-0.8123777583387198,-1.5731066040340047,-0.3566578299212888,0.7718866905965852,1.3531855051806283
Wacocity,1.2535743587658466,1.1343786537901324,-0.9131226552541873,-2.1937269442101788,2.3714291743248235,1.2461236526603012,-0.6293529395616062,-0.8479557830110684,-0.11175324542749071,6.698613013754724,-0.4898659628988707,-0.7511203156642845
